"","Flow_CD19","B_PCs","total_cibersort_bcells","Sample"
"1",0.000227748082732977,0.00239925540845047,0.00239925540845047,"092-126"
"2",0.0025131976117974,0.0108081158271405,0.0108081158271405,"001-089"
"3",0,0.0071425221398894,0.0071425221398894,"092-140"
"4",0.00726850666831425,0.00979451456729484,0.00979451456729484,"016-104"
"5",0.0053836029380546,0.0095831781160505,0.0095831781160505,"803-069"
"6",0.000238533360594289,0.0033283614159816,0.0033283614159816,"005-109"
"7",0.000377459749552773,0.00257593612329884,0.00257593612329884,"001-023"
"8",0.000220345207491737,0.00726512089088223,0.00726512089088223,"048-119"
"9",0.00184876647422521,0.00960700243782603,0.00960700243782603,"001-041"
"10",4.30327868852459e-05,0.00915183344389187,0.00915183344389187,"005-027"
"11",0.000527043095414082,0.00726267978312998,0.00726267978312998,"022-105"
"12",1.34780879984365e-05,0.0276089254283442,0.0276089254283442,"001-066"
"13",0.00127129125225065,0.0211727678190808,0.0211727678190808,"092-144"
"14",0.000552497984850345,0.000889783558438602,0.000889783558438602,"092-142"
"15",0.00306597271534908,0.012257007376197,0.012257007376197,"001-101"
"16",0.00447541332348609,0.0113801976165258,0.0113801976165258,"001-030"
"17",0.099519735116706,0.0177419328401948,0.0177419328401948,"001-038"
"18",0.00217357380119045,0.00597027890713294,0.00597027890713294,"001-115"
"19",5.78011901790523e-05,0.00531494566624495,0.00531494566624495,"071-034"
"20",0.000263936291240046,0.00444696798709437,0.00444696798709437,"001-017"
"21",0.00177638453500522,0,0,"029-033"
"22",0.00329663494433041,0.0137001103206434,0.0137001103206434,"001-067"
"23",0.00151253434526953,0.0111773624329205,0.0111773624329205,"001-131"
"24",0.0263818362224946,0.0123928187342819,0.0123928187342819,"092-037"
"25",0.00010473653524559,0.00342521809935494,0.00342521809935494,"001-074"
"26",0.0227782827252323,0.0311125478526679,0.0311125478526679,"048-022"
"27",0.00419336051252184,0.0148469953985068,0.0148469953985068,"002-083"
"28",0.000733475479744136,0.00493920819585492,0.00493920819585492,"091-055"
"29",4.57516339869281e-05,0.00354890855950018,0.00354890855950018,"001-014"
"30",0.00325746524237528,0.0030314883000178,0.0030314883000178,"004-045"
"31",4.89397209457112e-05,0.00459876562684564,0.00459876562684564,"004-058"
"32",0.00023402185025065,0.000141378432246992,0.000141378432246992,"005-007"
"33",0.000103386809269162,0,0,"005-015"
"34",0.00827751883331375,0.00124167590702255,0.00124167590702255,"015-002"
"35",1.82926829268293e-05,0.00718447803073566,0.00718447803073566,"016-116"
"36",0.00993492465308611,0.0187549528514837,0.0187549528514837,"022-012"
"37",3.54609929078014e-06,0.00503699227794958,0.00503699227794958,"029-020"
"38",0.000923190546528803,0.00288722109033267,0.00288722109033267,"048-016"
"39",0.00175765523270527,0.0291215017586779,0.0291215017586779,"071-003"
"40",1.75718849840256e-05,0.00170020856468802,0.00170020856468802,"071-009"
"41",0.000607759057298173,0,0,"091-006"
"42",0.000328990228013029,0.00775196938956121,0.00775196938956121,"091-010"
"43",3.6e-05,0,0,"091-018"
"44",0.00234325549030211,0.0038729864191564,0.0038729864191564,"092-008"
"45",0.000256432173690059,0,0,"092-124"
"46",0.00028887272577209,0.00318038371509623,0.00318038371509623,"803-029"
